ID_client,avg_check_amount,avg_monthly_spend,total_operations_count
16052,8.96,45262.8,6677
185364,15.65,1655.39,115
193285,9.27,1578.52,152
199886,9.95,1217.71,132
194510,8.11,1098.09,145
199503,10.97,1081.93,128
283183,26.49,1063.87,109
194930,7.87,1059.87,145
193078,7.44,1038.14,152
194540,9.99,1015.99,108
216719,7.74,1010.63,105
228869,11.62,994.8,109
202151,9.12,969.1,121
396473,10.78,951.88,117
194475,12.99,858.74,94
185459,8.4,858.07,105
193790,11.8,822.28,74
187017,10.54,789.84,103
185156,11.75,776.79,54
283480,8.55,733.97,82
194950,8.98,732.77,97
194658,8.79,717,78
185503,8.85,707.6,82
265225,11.8,699.39,53
193117,11.36,679.96,71
410270,8.57,668.14,79
283170,8.96,667.49,61
213259,9.86,657.5,52
213087,12.14,657.46,58
235105,12.39,650.23,66
235069,11.76,640.87,53
185348,7.47,628.51,80
213005,8.09,622.24,83
194737,11.04,608.05,68
235313,7.47,605.35,67
235130,10.1,597.86,80
228893,11.82,572.42,47
282564,8.23,569.46,92
213101,11.52,550.2,57
235155,8.41,545.06,76
185389,6.56,543.69,76
216630,7.32,533.28,76
212869,10.84,530.92,54
199711,6.4,472.18,71
193762,7.24,444.17,59
216985,8.85,439.31,61
216817,8.76,421.19,52
282743,9.01,418.07,28
193828,8.55,415.99,46
216761,7.22,412.64,71
264831,7.65,411.74,70
202349,8.51,407.78,58
194923,8.48,390.04,56
199793,7.82,384.04,59
212913,11.68,383.38,47
202304,9.65,378.84,39
213043,9.04,357.68,52
235076,7.74,349.56,46
216752,9.26,344,35
193741,7.5,341.66,49
283367,7,334.48,52
244833,9.31,330.43,54
228923,7.01,327.63,55
201957,6.19,327.3,53
213389,8.78,325.54,45
212904,7.87,310.15,45
186971,6.28,304.58,47
216805,7.24,286.59,43
194619,7.61,281.42,44
194522,11.73,279.68,41
185151,8.91,272.56,36
212722,10.58,258.36,39
202435,8.74,254.06,42
202346,9.67,227.31,33
202188,6.28,219.64,25
233877,8.67,207.44,32
228686,9.95,197.32,23
233057,15.09,194.95,27
193868,7.61,175.08,28
185122,7.15,173.48,31
193085,8.19,168.59,25
185435,8.74,167.56,27
