tx_month,avg_check_amount,avg_operations_per_client,active_clients_count,share_of_annual_operations_pct,share_of_annual_revenue_pct
2015-06-01,9.35,1.41,224,0.83,0.83
2015-07-01,9.26,3.12,939,7.67,7.61
2015-08-01,9.06,3.16,907,7.50,7.24
2015-09-01,9.28,3.10,901,7.32,7.21
2015-10-01,9.32,3.04,967,7.69,7.65
2015-11-01,9.23,3.04,918,7.32,6.98
2015-12-01,9.32,3.04,1032,8.22,7.96
2016-01-01,9.06,3.08,991,7.99,7.62
2016-02-01,10.01,3.73,1254,12.26,13.35
2016-03-01,9.9,3.78,1181,11.70,11.85
2016-04-01,9.58,3.55,1089,10.13,10.28
2016-05-01,9.61,3.69,1179,11.38,11.42
