tx_month,pct_clients_male,pct_clients_female,pct_clients_na,pct_spend_male,pct_spend_female,pct_spend_na
2015-06-01,31.25,65.63,3.13,25.31,72.52,2.17
2015-07-01,31.42,65.60,2.98,24.6,73.27,2.13
2015-08-01,30.43,66.26,3.31,21.4,76.24,2.36
2015-09-01,30.19,65.82,4.00,22.4,74.89,2.71
2015-10-01,30.51,66.80,2.69,24.59,73.27,2.14
2015-11-01,29.19,67.76,3.05,24.2,73.44,2.36
2015-12-01,31.40,65.60,3.00,27.07,70.47,2.45
2016-01-01,30.58,66.70,2.72,26.58,70.78,2.65
2016-02-01,30.06,66.83,3.11,26.44,70.8,2.76
2016-03-01,30.74,66.55,2.71,24.83,72.16,3.01
2016-04-01,31.96,65.56,2.48,25.81,71.36,2.83
2016-05-01,32.15,64.80,3.05,27.29,70.45,2.27
